"sku","name","selling_price","original_price","discount","availability","color","category","breadcrumbs","average_rating","reviews_count"
"H21533","adidas Sportswear Comfy and Chill Tee",24,30,6,"InStock","Black","Clothing","Men/Clothing",4.8,58
"GT7836","Ergo Tennis Shorts",48,60,12,"InStock","Black","Clothing","Men/Clothing",4.5,20
"HB1418","adidas Sportswear Future Icons 3-Stripes Sweatshirt",44,55,11,"InStock","Grey","Clothing","Men/Clothing",4.7,54
"EX6696","Superlite Hat",17,24,7,"InStock","Purple","Accessories","Women/Accessories",4.8,126
"H45374","adidas Sportswear Comfy & Chill Pants",44,55,11,"InStock","Black","Clothing","Men/Clothing",4.6,73
"H56354","adidas Sportswear Comfy & Chill Pants",44,55,11,"InStock","White","Clothing","Men/Clothing",4.6,73
"GT4792","4CMTE Four Panel RAIN.RDY Running Training Cycling Cap",21,30,9,"InStock","Black","Accessories","Running/Accessories",4.7,25
"EX6588","Linear Superlite Super-No-Show Socks 6 Pairs",14,20,6,"InStock","Multicolor","Accessories","Women/Accessories",4.8,6
"EX4446","Stretch Cotton Trunk Briefs 3 Pairs",21,30,9,"InStock","Grey","Clothing","Men/Clothing",4.4,9
"EY0208","Long Sleeve Tee and Printed Tights Set",36,44,8,"InStock","Pink","Clothing","Kids/Clothing",5,1
"EX6537","Santiago Lunch Bag",20,25,5,"InStock","Grey","Accessories","Training/Accessories",5,51
"EY3692","Relaxed Camo Trefoil Hat",21,26,5,"InStock","Green","Accessories","Men/Accessories",4.8,4
"EY0004","Camo Pants",28,40,12,"InStock","Black","Clothing","Kids/Clothing",4,1
"EX6535","Santiago Lunch Bag",20,25,5,"InStock","Grey","Accessories","Training/Accessories",5,51
"EX6529","Santiago Lunch Bag",20,25,5,"InStock","Pink","Accessories","Training/Accessories",5,51
"EW3431","Originals Sunglasses OR0013",70,100,30,"InStock","Black","Accessories","Originals/Accessories",4.7,3
"EX6528","Santiago Lunch Bag",20,25,5,"InStock","Grey","Accessories","Training/Accessories",5,51
"EX6531","Santiago Lunch Bag",20,25,5,"InStock","Black","Accessories","Training/Accessories",5,51
"GZ5350","Retrorun Shoes",52,65,13,"InStock","Green","Shoes","Women/Shoes",4.5,762
"EX6853","Classic Superlite No-Show Socks 6 Pairs",16,20,4,"InStock","Multicolor","Accessories","Men/Accessories",4.7,34
"H25047","Runner Tee",36,45,9,"InStock","Blue","Clothing","Men/Clothing",4.8,222
"H25046","Runner Tee",36,45,9,"InStock","Red","Clothing","Men/Clothing",4.8,222
"GN7927","Badge of Sport Tee",21,30,9,"InStock","White","Clothing","Men/Clothing",4.7,102
"H20107","AEROREADY 3-Stripes 8-Inch Shorts",32,40,8,"InStock","White","Clothing","Men/Clothing",4.8,667
"GN7926","Badge of Sport Tee",21,30,9,"InStock","Grey","Clothing","Men/Clothing",4.7,102
"EW4470","Cushioned Angle Stripe Low-Cut Socks 6 Pairs",13,16,3,"InStock","Multicolor","Accessories","Kids/Accessories",4.9,41
"H25050","Runner Tee",36,45,9,"InStock","Burgundy","Clothing","Men/Clothing",4.8,222
"GV7370","Retrorun Shoes",52,65,13,"InStock","Purple","Shoes","Women/Shoes",4.5,762
"EX6776","Relaxed Marble Wash Hat",23,28,5,"InStock","Multicolor","Accessories","Men/Accessories",5,2
"EX4818","Originals Sunglasses OR0032",112,160,48,"InStock","Brown","Accessories","Originals/Accessories",5,2
"GV7374","Retrorun Shoes",52,65,13,"InStock","White","Shoes","Women/Shoes",4.5,762
